Pk,Uk
1.3331842259037273e-05,19946718.162859894
1.3331769110523187e-05,19945011.91460509
1.33324891306396e-05,19961885.623394277
1.3332817764039934e-05,19969645.944255482
1.3333569001300196e-05,19987526.536052812
1.3334391489126293e-05,20007332.34617119
1.3335400151034924e-05,20031957.52331279
1.3336609925094258e-05,20061997.182029333
1.3338053505528414e-05,20098591.67439093
1.333959776508967e-05,20138683.699647132
1.334122720191654e-05,20182103.4067899
1.3343156238001822e-05,20235078.986285258
1.3345205585224427e-05,20293356.320136696
1.3347522737155341e-05,20361930.573985387
1.3350152539820923e-05,20443533.505583845
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.37671258
1.3350686885413968e-05,20460642.376712576
